SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,8831 Lanarkshire Dr,Dallas,TX,75238,389000,3,2.0,Lake Highlands Estates 10,1468,8320,1955,1,265,,Active,,,http://www.redfin.com/TX/Dallas/8831-Lanarkshire-Dr-75238/home/31005903,NTREIS,14303138,N,Y,32.8692103,-96.7068213
MLS Listing,,Single Family Residential,3938 Lively Ln,Dallas,TX,75220,895000,3,3.5,Glenridge Estates,2674,8886,2014,1,335,,Active,,,http://www.redfin.com/TX/Dallas/3938-Lively-Ln-75220/home/30910888,NTREIS,14317268,N,Y,32.8733198,-96.8486477
MLS Listing,,Single Family Residential,11152 Carissa Dr,Dallas,TX,75218,449000,4,2.5,Lochwood Meadows,2049,10454,1972,1,219,4,Active,,,http://www.redfin.com/TX/Dallas/11152-Carissa-Dr-75218/home/31045689,NTREIS,14317184,N,Y,32.8612174,-96.6890209
MLS Listing,,Single Family Residential,10539 Estate Ln,Dallas,TX,75238,405000,4,2.0,Lake Highlands North,1923,8407,1960,4,211,4,Active,,,http://www.redfin.com/TX/Dallas/10539-Estate-Ln-75238/home/31062655,NTREIS,14310299,N,Y,32.88306599,-96.7029059
MLS Listing,,Single Family Residential,12230 Pleasant Valley Dr,Dallas,TX,75243,342000,4,3.0,Country Forest Ph 02,2350,8625,1983,7,146,15,Active,,,http://www.redfin.com/TX/Dallas/12230-Pleasant-Valley-Dr-75243/home/31109623,NTREIS,14306369,N,Y,32.9142308,-96.7236025
MLS Listing,,Single Family Residential,7003 Wake Forrest Dr,Dallas,TX,75214,380000,3,2.0,University Terrace,1373,7492,1958,7,277,,Active,,,http://www.redfin.com/TX/Dallas/7003-Wake-Forrest-Dr-75214/home/30870110,NTREIS,14313086,N,Y,32.8542802,-96.7389694
MLS Listing,,Single Family Residential,5932 Woodoak Dr,Dallas,TX,75249,218000,3,2.0,Fox Hollow,1647,6098,1999,9,132,20,Active,,,http://www.redfin.com/TX/Dallas/5932-Woodoak-Dr-75249/home/31156303,NTREIS,14309952,N,Y,32.6508835,-96.9735527
MLS Listing,,Single Family Residential,8602 Angora St,Dallas,TX,75218,530000,3,2.5,Lake Crest,2402,7231,1939,14,221,,Active,,,http://www.redfin.com/TX/Dallas/8602-Angora-St-75218/home/30859820,NTREIS,14307532,N,Y,32.8223518,-96.7136753
MLS Listing,,Single Family Residential,2441 Highland Rd,Dallas,TX,75228,250000,3,2.0,Claremont Add 01 Instl,1412,9017,1961,15,177,,Active,,,http://www.redfin.com/TX/Dallas/2441-Highland-Rd-75228/home/30967000,NTREIS,14302059,N,Y,32.798987,-96.7101708
MLS Listing,,Townhouse,3629 Oak Lawn Ave,Dallas,TX,75219,550000,3,3.5,Foresite 09,2475,915,2001,15,222,,Active,,,http://www.redfin.com/TX/Dallas/3629-Oak-Lawn-Ave-75219/home/32211975,NTREIS,14309267,N,Y,32.8133687,-96.8041812
