SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,63 Jared Dr,White Plains,NY,10605,849000,3,3.0,Gedney Commons,2597,1921,1987,74,327,550,Active,,,http://www.redfin.com/NY/White-Plains/63-Jared-Dr-10605/home/20184901,OneKey,H6019318,N,Y,41.005312,-73.754431
MLS Listing,,Single Family Residential,138 Rosedale Ave,White Plains,NY,10605,1295000,4,3.5,White Plains,3257,9056,2020,1,398,,Active,,,http://www.redfin.com/NY/White-Plains/138-Rosedale-Ave-10605/unit-138/home/21451231,OneKey,H6040378,N,Y,40.993136,-73.7439009
MLS Listing,,Condo/Co-op,107 Winding Ridge Rd,White Plains,NY,10603,825000,4,3.5,Winding Ridge,3000,436,2001,3,275,500,Active,,,http://www.redfin.com/NY/White-Plains/107-Winding-Ridge-Rd-10603/home/20032703,OneKey,H6040647,N,Y,41.0449668,-73.7854152
MLS Listing,,Single Family Residential,15 Kenilworth Rd,Rye,NY,10580,1748999,5,4.5,Rye,4200,113840,1952,3,416,,Active,,,http://www.redfin.com/NY/Rye/15-Kenilworth-Rd-10580/home/19994154,OneKey,H6040655,N,Y,41.0010773,-73.7222028
MLS Listing,,Condo/Co-op,10 Bryant Cres Unit 1N,White Plains,NY,10605,259900,2,1.0,Bryant Gardens,950,,1952,3,274,1094,Active,,,http://www.redfin.com/NY/White-Plains/10-Bryant-Cres-10605/unit-1N/home/21450472,OneKey,H6039442,N,Y,41.0196265,-73.7507019
MLS Listing,,Condo/Co-op,56 Underhill Ave Unit 1B,West Harrison,NY,10604,139000,1,1.0,Park Knoll,800,,1952,3,174,851,Active,,,http://www.redfin.com/NY/West-Harrison/56-Underhill-Ave-10604/unit-1B/home/53609091,OneKey,H6040609,N,Y,41.0336515,-73.7520001
MLS Listing,,Single Family Residential,67 Eldorado Ct,White Plains,NY,10603,749000,4,2.5,Valimar,2647,5506,2000,3,283,209,Active,,,http://www.redfin.com/NY/White-Plains/67-Eldorado-Ct-10603/home/20032732,OneKey,H6040487,N,Y,41.0589852,-73.7785131
MLS Listing,,Condo/Co-op,89 N Broadway #104,White Plains,NY,10603,450000,2,2.0,White Plains Commons Ii,1447,,1984,3,311,627,Active,,,http://www.redfin.com/NY/White-Plains/89-N-Broadway-10603/unit-104/home/171823667,OneKey,H6035227,N,Y,41.039842,-73.768001
MLS Listing,,Single Family Residential,325 County Center Rd,White Plains,NY,10603,499000,3,2.0,White Plains,1040,14932,1954,3,480,,Active,,,http://www.redfin.com/NY/White-Plains/325-County-Center-Rd-10603/home/20129968,OneKey,H6028891,N,Y,41.0481524,-73.7824197
MLS Listing,,Single Family Residential,1475 Old Orchard St,West Harrison,NY,10604,499000,3,1.0,Quarry Heights,1200,8725,1920,4,416,,Active,,,http://www.redfin.com/NY/West-Harrison/1475-Old-Orchard-St-10604/home/20085543,OneKey,H6039171,N,Y,41.0671864,-73.7507966
MLS Listing,,Single Family Residential,16 Oakridge Rd,White Plains,NY,10607,649000,4,2.0,White Plains,1988,,1957,4,326,,Active,,,http://www.redfin.com/NY/White-Plains/16-Oakridge-Rd-10607/home/20129656,OneKey,H6039713,N,Y,41.0393779,-73.8110509
MLS Listing,,Single Family Residential,273 Hillside Ave,White Plains,NY,10603,349500,3,1.0,White Plains,875,10350,1952,4,399,,Active,,,http://www.redfin.com/NY/White-Plains/273-Hillside-Ave-10603/home/20130616,OneKey,H6039907,N,Y,41.0511909,-73.7891298
MLS Listing,,Single Family Residential,2 Woods Way,White Plains,NY,10605,1349500,3,2.5,White Plains,3400,12894,1985,4,397,,Active,,,http://www.redfin.com/NY/White-Plains/2-Woods-Way-10605/home/20181816,OneKey,H6036223,N,Y,40.995576,-73.7366151
MLS Listing,,Single Family Residential,10 Greene Ln,White Plains,NY,10605,1050000,4,2.5,The Greens,2913,8085,1998,4,360,,Active,,,http://www.redfin.com/NY/White-Plains/10-Greene-Ln-10605/home/145899082,OneKey,H6024577,N,Y,41.0081966,-73.7300182
MLS Listing,,Condo/Co-op,23 Old Mamaroneck Rd Unit 4C,White Plains,NY,10605,179000,1,1.0,Saxon House,900,,1928,4,199,872,Active,,,http://www.redfin.com/NY/White-Plains/23-Old-Mamaroneck-Rd-10605/unit-4C/home/21824340,OneKey,H6039997,N,Y,41.022013,-73.7607023
MLS Listing,,Single Family Residential,11 Romar Ave,White Plains,NY,10605,1549000,5,4.5,White Plains,5300,16914,1907,6,292,,Active,,,http://www.redfin.com/NY/White-Plains/11-Romar-Ave-10605/home/20182379,OneKey,H6028939,N,Y,40.9938461,-73.7512333
MLS Listing,,Single Family Residential,5 Ligi Ln,White Plains,NY,10607,1295000,4,3.5,White Plains,3200,23958,2020,6,405,,Active,,,http://www.redfin.com/NY/White-Plains/5-Ligi-LN-10607/home/171795559,OneKey,H6012545,N,Y,41.0390683,-73.8154394
MLS Listing,,Single Family Residential,3 Ligi Ln,White Plains,NY,10607,1295000,4,3.5,White Plains,3200,26572,2020,6,405,,Active,,,http://www.redfin.com/NY/White-Plains/3-Ligi-LN-10607/home/171795557,OneKey,H6012541,N,Y,41.0390683,-73.8154394
